,SupT1/FarRed+/p24+ SupT1 | Freq. of Parent (%),SupT1/FarRed+/Dead SupT1 | Freq. of Parent (%),MDDC/FarRed-/p24+ MDDC | Freq. of Parent (%),MDDC/FarRed-/Dead MDDC | Freq. of Parent (%),
siMDDC-SupT1_D5.fcs,18.8,7.42,0.88,0.88,
siMDDC-SupT1_D6.fcs,31.0,12.5,3.36,1.34,
siMDDC-SupT1_D7.fcs,31.1,11.5,2.97,1.76,
siMDDC-SupT1_D8.fcs,32.3,13.4,4.44,2.65,
siMDDC-SupT1_D9.fcs,30.3,12.0,6.05,2.07,
siMDDC-SupT1_D10.fcs,16.4,7.36,2.04,1.58,
siMDDC-SupT1_D11.fcs,21.1,8.80,1.86,1.86,
siMDDC-SupT1_E2.fcs,23.4,8.41,2.45,1.61,
siMDDC-SupT1_E3.fcs,16.5,7.06,1.64,0.96,
siMDDC-SupT1_E4.fcs,25.7,9.70,4.64,2.36,
siMDDC-SupT1_E5.fcs,27.5,9.87,3.76,2.28,
siMDDC-SupT1_E6.fcs,16.9,8.08,2.00,1.56,
siMDDC-SupT1_E7.fcs,11.5,5.41,0.79,1.27,
siMDDC-SupT1_E8.fcs,15.8,6.64,1.25,1.88,
siMDDC-SupT1_E9.fcs,11.7,5.48,1.19,1.19,
siMDDC-SupT1_E10.fcs,16.2,6.30,1.20,1.46,
siMDDC-SupT1_E11.fcs,11.3,4.92,0.74,0.17,
siMDDC-SupT1_F2.fcs,19.9,6.60,1.51,0.53,
siMDDC-SupT1_F3.fcs,17.6,6.39,1.97,0.83,
siMDDC-SupT1_F4.fcs,39.2,16.6,5.66,1.13,
siMDDC-SupT1_F5.fcs,68.1,31.7,12.7,2.08,
siMDDC-SupT1_F6.fcs,41.0,17.2,7.25,1.84,
siMDDC-SupT1_F7.fcs,48.7,20.0,8.01,1.27,
siMDDC-SupT1_F8.fcs,43.1,18.9,9.23,1.91,
siMDDC-SupT1_F9.fcs,34.6,12.1,2.91,1.51,
siMDDC-SupT1_F10.fcs,26.6,8.81,2.50,1.25,
siMDDC-SupT1_F11.fcs,31.8,12.2,3.07,0.87,
siMDDC-SupT1_G2.fcs,40.1,16.6,5.51,0.64,
siMDDC-SupT1_G3.fcs,39.4,13.9,5.70,1.07,
siMDDC-SupT1_G4.fcs,37.4,15.6,4.34,1.18,
siMDDC-SupT1_G5.fcs,35.4,13.6,3.96,1.03,
siMDDC-SupT1_G6.fcs,35.6,14.1,4.97,1.68,
siMDDC-SupT1_G7.fcs,54.7,23.5,11.6,2.03,
siMDDC-SupT1_G8.fcs,22.4,8.71,1.68,1.44,
siMDDC-SupT1_G9.fcs,36.4,14.9,4.03,1.96,
siMDDC-SupT1_G10.fcs,23.2,9.23,1.13,0.31,
siMDDC-SupT1_G11.fcs,26.3,10.1,3.09,1.12,
siMDDC-SupT1_H2.fcs,24.4,9.30,2.39,0.76,
siMDDC-SupT1_H3.fcs,27.1,11.1,3.32,1.09,
siMDDC-SupT1_H4.fcs,26.3,10.5,4.07,1.42,
siMDDC-SupT1_H5.fcs,21.2,10.3,2.92,0.92,
siMDDC-SupT1_H6.fcs,42.1,16.8,5.61,1.79,
siMDDC-SupT1_H7.fcs,22.8,9.35,2.41,1.30,
siMDDC-SupT1_H8.fcs,31.6,14.8,5.06,1.42,
siMDDC-SupT1_H9.fcs,26.0,9.86,3.28,1.39,
siMDDC-SupT1_H10.fcs,15.0,6.39,1.36,1.01,
siMDDC-SupT1_H11.fcs,22.7,9.41,3.68,1.12,
Mean,,,3.51,1.49,
SD,,,2.75,0.68,
